productId,slug,vertical,family,descriptionClass,wordCount,galleryCount,hasVerdict,strengthCount,weaknessCount,hasOffers,hasAlternatives,sectionCount
prod-novablast-5,asics-novablast-5,running,RUNNING_SHOES,GOOD,86,3,true,2,2,true,true,4
prod-novablast-4,asics-novablast-4,running,RUNNING_SHOES,GOOD,108,3,true,3,2,true,true,0
prod-nimbus-27,asics-gel-nimbus-27,running,RUNNING_SHOES,THIN,16,3,false,2,1,true,true,3
prod-pegasus-41,nike-pegasus-41,running,RUNNING_SHOES,GOOD,86,1,true,2,2,true,true,0
prod-ghost-16,brooks-ghost-16,running,RUNNING_SHOES,THIN,17,1,false,2,2,true,true,3
prod-clifton-9,hoka-clifton-9,running,RUNNING_SHOES,GOOD,92,1,true,2,2,true,true,0
prod-endorphin-speed-4,saucony-endorphin-speed-4,running,RUNNING_SHOES,GOOD,92,1,true,2,2,true,true,0
prod-rebel-4,new-balance-fuelcell-rebel-v4,running,RUNNING_SHOES,GOOD,163,1,true,3,2,true,true,0
prod-boston-12,adidas-adizero-boston-12,running,RUNNING_SHOES,THIN,24,1,false,2,1,true,true,6
prod-novablast-6,asics-novablast-6,running,RUNNING_SHOES,UNHELPFUL,41,3,false,3,2,true,true,5
prod-superblast-2,asics-superblast-2,running,RUNNING_SHOES,THIN,28,1,false,2,2,true,true,2
prod-kayano-32,asics-gel-kayano-32,running,RUNNING_SHOES,THIN,31,3,false,3,2,true,true,4
prod-cumulus-27,asics-gel-cumulus-27,running,RUNNING_SHOES,THIN,25,3,false,2,2,true,true,0
prod-metaspeed-sky-paris,asics-metaspeed-sky-paris,running,RUNNING_SHOES,THIN,25,1,false,2,2,true,true,0
prod-gt-2000-14,asics-gt-2000-14,running,RUNNING_SHOES,THIN,25,1,false,2,2,true,true,0
prod-pegasus-42,nike-pegasus-42,running,RUNNING_SHOES,THIN,29,1,false,3,2,true,true,3
prod-vomero-18,nike-vomero-18,running,RUNNING_SHOES,THIN,30,1,false,2,2,true,true,0
prod-invincible-3,nike-invincible-3,running,RUNNING_SHOES,THIN,31,1,false,2,2,true,true,0
prod-vaporfly-4,nike-vaporfly-4,running,RUNNING_SHOES,THIN,27,1,false,2,2,true,true,5
prod-alphafly-3,nike-alphafly-3,running,RUNNING_SHOES,THIN,27,1,false,2,2,true,true,4
prod-structure-26,nike-structure-26,running,RUNNING_SHOES,THIN,26,1,false,2,2,true,true,0
prod-structure-plus,nike-structure-plus,running,RUNNING_SHOES,THIN,31,1,false,2,2,true,true,0
prod-ghost-18,brooks-ghost-18,running,RUNNING_SHOES,THIN,28,1,false,3,2,true,true,5
prod-glycerin-22,brooks-glycerin-22,running,RUNNING_SHOES,THIN,23,1,false,2,2,true,true,2
prod-glycerin-21,brooks-glycerin-21,running,RUNNING_SHOES,THIN,22,1,false,2,1,true,true,0
prod-adrenaline-gts-25,brooks-adrenaline-gts-25,running,RUNNING_SHOES,THIN,22,5,false,2,2,true,true,3
prod-hyperion-max-2,brooks-hyperion-max-2,running,RUNNING_SHOES,THIN,28,1,false,2,2,true,true,0
prod-clifton-10,hoka-clifton-10,running,RUNNING_SHOES,THIN,25,1,false,2,2,true,true,3
prod-bondi-9,hoka-bondi-9,running,RUNNING_SHOES,THIN,26,1,false,2,2,true,true,3
prod-bondi-8,hoka-bondi-8,running,RUNNING_SHOES,THIN,20,1,false,2,1,true,true,0
prod-mach-6,hoka-mach-6,running,RUNNING_SHOES,THIN,28,1,false,2,2,true,true,0
prod-speedgoat-6,hoka-speedgoat-6,running,RUNNING_SHOES,THIN,29,1,false,2,2,true,true,3
prod-clifton-pro,hoka-clifton-pro,running,RUNNING_SHOES,THIN,25,1,false,2,2,true,true,0
prod-endorphin-speed-5,saucony-endorphin-speed-5,running,RUNNING_SHOES,THIN,28,1,false,2,2,true,true,3
prod-endorphin-pro-4,saucony-endorphin-pro-4,running,RUNNING_SHOES,THIN,25,1,false,2,2,true,true,0
prod-endorphin-pro-3,saucony-endorphin-pro-3,running,RUNNING_SHOES,GOOD,99,1,true,2,2,true,true,0
prod-ride-18,saucony-ride-18,running,RUNNING_SHOES,THIN,24,1,false,2,2,true,true,0
prod-triumph-22,saucony-triumph-22,running,RUNNING_SHOES,THIN,28,1,false,2,2,true,true,0
prod-peregrine-15,saucony-peregrine-15,running,RUNNING_SHOES,THIN,31,1,false,2,2,true,true,3
prod-1080-v14,new-balance-fresh-foam-x-1080-v14,running,RUNNING_SHOES,THIN,30,5,false,2,2,true,true,0
prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,padel,RACKETS,GOOD,146,1,true,3,2,true,true,7
prod-bullpadel-vertex-04,bullpadel-vertex-04,padel,RACKETS,GOOD,98,1,true,2,2,true,true,7
prod-babolat-technical-viper,babolat-technical-viper-3-0,padel,RACKETS,GOOD,97,1,true,2,2,true,true,7
prod-head-coello-pro,head-coello-pro-2026,padel,RACKETS,GOOD,133,1,true,3,2,true,true,7
prod-siux-diablo,siux-diablo-pro-2026,padel,RACKETS,GOOD,103,1,true,3,2,true,true,7
prod-wilson-bela-pro,wilson-bela-pro-v3,padel,RACKETS,GOOD,88,1,true,2,2,true,true,7
prod-starvie-titania-kepler,starvie-titania-kepler,padel,RACKETS,GOOD,95,1,true,2,2,true,true,7
prod-adidas-metalbone-hrd,adidas-metalbone-hrd-2026,padel,RACKETS,GOOD,87,1,true,3,2,true,true,7
prod-kuikma-pr-soft-500,kuikma-pr-soft-500,padel,RACKETS,UNHELPFUL,59,1,true,2,2,false,false,0
prod-drop-shot-canyon-pro,drop-shot-canyon-pro,padel,RACKETS,UNHELPFUL,76,1,true,2,2,false,false,0
prod-varlion-lw-carbon-difusor,varlion-lw-carbon-difusor,padel,RACKETS,GOOD,82,1,true,2,2,true,true,7
prod-nox-ml10-pro-cup,nox-ml10-pro-cup,padel,RACKETS,GOOD,130,1,true,2,2,true,true,7
prod-bullpadel-hack-03,bullpadel-hack-03,padel,RACKETS,UNHELPFUL,71,1,true,2,2,true,true,7
prod-babolat-counter-viper,babolat-counter-viper,padel,RACKETS,GOOD,82,1,true,2,2,true,true,7
prod-head-extreme-pro-padel,head-extreme-pro-padel,padel,RACKETS,GOOD,97,1,true,2,2,true,true,7
prod-wilson-blade-pro-padel,wilson-blade-pro-v3-padel,padel,RACKETS,GOOD,80,1,true,2,2,true,true,7
prod-starvie-basalto-osiris,starvie-basalto-osiris,padel,RACKETS,UNHELPFUL,74,1,true,2,2,true,true,7
prod-bullpadel-vertex-05,bullpadel-vertex-05-2026,padel,RACKETS,GOOD,128,1,true,3,2,true,true,7
