"url","page_type","product_or_category","segment","unique_product_images","unique_section_images","price_visible","offer_count","decision_copy_status","content_quality_status","visual_storytelling_status","duplicate_image_status","generator_residue_status","parity_status"
"/products/nox-at10-genius-18k-2026","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/bullpadel-vertex-04","pdp","cat-padel-rackets","LONG_TAIL","6","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/babolat-technical-viper-3-0","pdp","cat-padel-rackets","LONG_TAIL","4","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/head-coello-pro-2026","pdp","cat-padel-rackets","LONG_TAIL","6","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/siux-diablo-pro-2026","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/adidas-courtquick-padel","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/head-padel-pro-s-balls","pdp","cat-padel-balls","LONG_TAIL","3","0","no","0","NEEDS_FIX","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","FAIL"
"/products/wilson-padel-overgrip-pack","pdp","cat-padel-grips","LONG_TAIL","2","0","no","0","NEEDS_FIX","SEE_REVIEW","PARTIAL","HAS_DERIVED","CLEAN","FAIL"
"/products/wilson-bela-pro-v3","pdp","cat-padel-rackets","LONG_TAIL","4","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/starvie-titania-kepler","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/adidas-metalbone-hrd-2026","pdp","cat-padel-rackets","LONG_TAIL","4","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/varlion-lw-carbon-difusor","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/nox-ml10-pro-cup","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/bullpadel-hack-03","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/babolat-counter-viper","pdp","cat-padel-rackets","LONG_TAIL","4","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/head-extreme-pro-padel","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/wilson-blade-pro-v3-padel","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/starvie-basalto-osiris","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/bullpadel-vertex-05-2026","pdp","cat-padel-rackets","FLAGSHIP","6","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/bullpadel-hack-04-2026","pdp","cat-padel-rackets","LONG_TAIL","6","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/nox-at10-genius-12k-alum-xtrem-2026","pdp","cat-padel-rackets","LONG_TAIL","6","0","no","0","OK","SEE_REVIEW","OK","HAS_DERIVED","CLEAN","IN_PROGRESS"
"/products/adidas-metalbone-3-3","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/head-extreme-motion","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/tecnifibre-wall-breaker-365","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/oxdog-sense-pro","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/lok-maxx-flow","pdp","cat-padel-rackets","LONG_TAIL","1","0","no","0","OK","SEE_REVIEW","WEAK","OK","CLEAN","IN_PROGRESS"
"/products/asics-gel-resolution-padel","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/asics-gel-challenger-court","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/babolat-jet-premura","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/joma-t-slam","pdp","cat-padel-shoes","EDITORIAL_PRIORITY","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/head-revolt-pro-court","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/adidas-crazyquick-boost-padel","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/adidas-courtquick-padel-women","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/adidas-crazyquick-boost-padel-women","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/asics-gel-dedicate-8-padel","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/asics-game-ff-padel","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/asics-solution-swift-ff2-padel","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/bullpadel-hybrid-fly","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/bullpadel-ionic-woman","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/nox-at10-lux","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/nox-ml10-hexa","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/babolat-movea-2","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/babolat-sensa-women","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/joma-slam-lady","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
"/products/joma-spin-men","pdp","cat-padel-shoes","LONG_TAIL","1","0","no","0","NEEDS_FIX","SEE_REVIEW","WEAK","OK","CLEAN","FAIL"
