heroSrc,productIds,slugs,reuseClass,notes
/images/padel/products/nox-at10-genius-18k-2026-hero.jpg,prod-nox-at10-18k-2026,nox-at10-genius-18k-2026,UNIQUE,
/images/padel/products/bullpadel-vertex-04-hero.png,prod-bullpadel-vertex-04,bullpadel-vertex-04,UNIQUE,
/images/padel/products/babolat-technical-viper-hero.png,prod-babolat-technical-viper,babolat-technical-viper-3-0,UNIQUE,
/images/padel/products/head-coello-pro-2026-hero.png,prod-head-coello-pro,head-coello-pro-2026,UNIQUE,
/images/padel/products/siux-diablo-hero.png,prod-siux-diablo,siux-diablo-pro-2026,UNIQUE,
/images/padel/products/head-padel-pro-s-hero.jpg,prod-head-padel-pro-s,head-padel-pro-s-balls,UNIQUE,
/images/padel/products/wilson-padel-overgrip-hero.jpg,prod-wilson-overgrip,wilson-padel-overgrip-pack,UNIQUE,
/images/padel/products/wilson-bela-pro-hero.png,prod-wilson-bela-pro,wilson-bela-pro-v3,UNIQUE,
/images/padel/products/starvie-titania-kepler-hero.jpg,prod-starvie-titania-kepler,starvie-titania-kepler,UNIQUE,
/images/padel/products/adidas-metalbone-hrd-hero.png,prod-adidas-metalbone-hrd,adidas-metalbone-hrd-2026,UNIQUE,
/images/padel/products/varlion-lw-carbon-difusor-2026-hero.jpg,prod-varlion-lw-carbon-difusor,varlion-lw-carbon-difusor,UNIQUE,
/images/padel/products/nox-ml10-pro-cup-2026-hero.jpg,prod-nox-ml10-pro-cup,nox-ml10-pro-cup,UNIQUE,
/images/padel/products/bullpadel-hack-03-hero.jpg,prod-bullpadel-hack-03,bullpadel-hack-03,UNIQUE,
/images/padel/products/babolat-counter-viper-hero.png,prod-babolat-counter-viper,babolat-counter-viper,UNIQUE,
/images/padel/products/head-extreme-pro-padel-hero.png,prod-head-extreme-pro-padel,head-extreme-pro-padel,UNIQUE,
/images/padel/products/wilson-blade-pro-padel-hero.png,prod-wilson-blade-pro-padel,wilson-blade-pro-v3-padel,UNIQUE,
/images/padel/products/starvie-basalto-osiris-2026-hero.jpg,prod-starvie-basalto-osiris,starvie-basalto-osiris,UNIQUE,
/images/padel/products/bullpadel-vertex-05-hero.png,prod-bullpadel-vertex-05,bullpadel-vertex-05-2026,UNIQUE,
/images/padel/products/bullpadel-hack-04-hero.png,prod-bullpadel-hack-04,bullpadel-hack-04-2026,UNIQUE,
/images/padel/products/nox-at10-genius-12k-alum-xtrem-2026-hero.jpg,prod-nox-at10-12k-2026,nox-at10-genius-12k-alum-xtrem-2026,UNIQUE,
/images/padel/products/adidas-metalbone-3-3-hero.jpg,prod-adidas-metalbone-3-3-2026,adidas-metalbone-3-3,UNIQUE,
/images/padel/products/head-extreme-motion-2026-hero.png,prod-head-extreme-motion-2026,head-extreme-motion,UNIQUE,
/images/padel/products/tecnifibre-wall-breaker-365-hero.jpg,prod-tecnifibre-wall-breaker-365-2026,tecnifibre-wall-breaker-365,UNIQUE,
/images/padel/products/oxdog-sense-pro-hero.jpg,prod-oxdog-sense-pro-2026,oxdog-sense-pro,UNIQUE,
/images/padel/products/royal-padel-rp-m27-2026-hero.jpg,prod-royal-padel-rp-m27-2026,royal-padel-m27-poly-2026,UNIQUE,
/images/padel/products/lok-maxx-flow-hero.jpg,prod-lok-maxx-flow,lok-maxx-flow,UNIQUE,
/images/padel/products/asics-gel-resolution-padel-hero.jpg,prod-asics-gel-resolution-padel,asics-gel-resolution-padel,UNIQUE,
/images/padel/products/asics-gel-challenger-court-hero.jpg,prod-asics-gel-challenger-court,asics-gel-challenger-court,UNIQUE,
/images/padel/products/babolat-jet-premura-hero.jpg,prod-babolat-jet-premura,babolat-jet-premura,UNIQUE,
/images/padel/products/joma-t-slam-hero.jpg,prod-joma-t-slam,joma-t-slam,UNIQUE,
/images/padel/products/head-revolt-pro-court-hero.jpg,prod-head-revolt-pro-court,head-revolt-pro-court,UNIQUE,
/images/padel/products/adidas-crazyquick-boost-padel-hero.jpg,prod-adidas-crazyquick-boost-m,adidas-crazyquick-boost-padel,UNIQUE,
/images/padel/products/adidas-courtquick-padel-women-hero.jpg,prod-adidas-courtquick-w,adidas-courtquick-padel-women,UNIQUE,
/images/padel/products/adidas-crazyquick-boost-padel-women-hero.jpg,prod-adidas-crazyquick-boost-w,adidas-crazyquick-boost-padel-women,UNIQUE,
/images/padel/products/asics-gel-dedicate-8-padel-hero.jpg,prod-asics-gel-dedicate-8-padel,asics-gel-dedicate-8-padel,UNIQUE,
/images/padel/products/asics-game-ff-padel-hero.jpg,prod-asics-game-ff-padel,asics-game-ff-padel,UNIQUE,
/images/padel/products/asics-solution-swift-ff2-padel-hero.jpg,prod-asics-solution-swift-ff2-padel,asics-solution-swift-ff2-padel,UNIQUE,
/images/padel/products/bullpadel-hybrid-fly-hero.jpg,prod-bullpadel-hybrid-fly,bullpadel-hybrid-fly,UNIQUE,
/images/padel/products/bullpadel-ionic-woman-hero.jpg,prod-bullpadel-ionic-woman,bullpadel-ionic-woman,UNIQUE,
/images/padel/products/nox-at10-lux-hero.jpg,prod-nox-at10-lux,nox-at10-lux,UNIQUE,
/images/padel/products/nox-ml10-hexa-hero.jpg,prod-nox-ml10-hexa,nox-ml10-hexa,UNIQUE,
/images/padel/products/babolat-movea-2-hero.jpg,prod-babolat-movea-2,babolat-movea-2,UNIQUE,
/images/padel/products/babolat-sensa-women-hero.jpg,prod-babolat-sensa-women,babolat-sensa-women,UNIQUE,
