path,type,sport,status,ready,indexable,quality,uniqueness,notes
/reviews/adidas-adizero-adios-pro-4,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/adidas-adizero-boston-12,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/adidas-adizero-boston-13,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/adidas-adizero-evo-sl,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/adidas-terrex-agravic-3,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/adidas-ultraboost-5,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/altra-escalante-4,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/altra-experience-flow,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/altra-lone-peak-8,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/altra-paradigm-7,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/altra-torin-8,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/asics-gel-cumulus-27,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/asics-gel-nimbus-27,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/asics-gel-trabuco-13,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/asics-gt-1000-13,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/asics-gt-2000-14,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/asics-metaspeed-sky-paris,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/asics-novablast-4,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/asics-novablast-6,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/brooks-ghost-16,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/brooks-glycerin-21,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/brooks-hyperion-max-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/hoka-arahi-7,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/hoka-bondi-8,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/hoka-clifton-9,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/hoka-clifton-pro,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/hoka-gaviota-5,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/hoka-mach-6,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/inov8-trailfly-ultra-g-300-max,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/mizuno-wave-rebellion-pro-3,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/mizuno-wave-rider-28,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/new-balance-fresh-foam-x-1080-v13,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/new-balance-fresh-foam-x-1080-v14,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/new-balance-fresh-foam-x-hierro-v9,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/new-balance-fuelcell-rebel-v5,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/new-balance-fuelcell-supercomp-elite-v4,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/new-balance-fuelcell-supercomp-trainer-v3,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/nike-invincible-3,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/nike-pegasus-41,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/nike-pegasus-trail-5,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/nike-react-infinity-run-4,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/nike-structure-26,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/nike-structure-plus,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/on-cloudmonster-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/on-cloudsurfer-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/on-cloudsurfer-next,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/puma-deviate-nitro-3,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/puma-magnify-nitro-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/salomon-aero-glide-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/salomon-genesis,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/salomon-pulsar-trail-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/salomon-sense-ride-5,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/salomon-ultra-glide-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/saucony-endorphin-pro-3,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/saucony-endorphin-pro-4,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/saucony-guide-18,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/saucony-peregrine-15,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/saucony-ride-18,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/saucony-triumph-22,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/saucony-xodus-ultra-3,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/topo-athletic-phantom-3,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/topo-athletic-specter-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/topo-athletic-terraventure-5,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/apple-watch-ultra-2,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/coros-apex-2-pro,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/coros-pace-pro,review,running,READY,yes,yes,LAUNCH_READY,OK,
/reviews/garmin-forerunner-165,review,running,READY,yes,yes,LAUNCH_READY,OK,
