id,surface,path_or_slug,status_label,severity,n,notes,evidence
SEO-SITEMAP-NOINDEX,seo,/products/*/alternatives,sitemap_robots_aligned,CLOSED,0,"V2 HIGH closed by Fix 82. Fresh mismatchN=0; sitemap alts 130; pageIndexableTrue 130; HTTP noindex 0.",rc-v3/alt-index-mismatch.json; rc-v3/sitemap-http-probe.json
MEDIA-CI-CRASH,engineering,scripts/catalog-media-agent.ts,ci_pass,CLOSED,0,"npm run media:ci exit 0. Authentic 631/631. P0 gaps 0. Broken 0. Ingest >5MB 0.",rc-v3/logs/media-ci.log
ENG-TEST-TIMEOUT,engineering,tests/*sitemap*,test_stable,CLOSED,0,"Fix 84. npm test 62 files / 639 tests / 0 timeouts.",rc-v3/logs/test.log
ENG-CONSOLE-DEBUG,engineering,calculators/rotation analytics,telemetry_sink,CLOSED,0,"Fix 88. No console.log/debug in src/. Sinks match commerce analytics.",fixes/88-production-code-hygiene.md
ENG-FINDER-TODO,engineering,running-shoe-finder.ts,roadmap_documented,CLOSED,0,"Fix 88. TODO removed. FUT-FINDER-SCORING in FUTURE_ROADMAP.md.",docs/prelaunch/FUTURE_ROADMAP.md
MEDIA-WRONG-BAK,media,public/images,no_bak,CLOSED,0,"Fix 86. find *.bak under public/images = 0.",rc-v3/logs/media-hygiene.log
MEDIA-QA-CLUTTER,media,public/images/**/qa,relocated,CLOSED,0,"Fix 86. No qa dirs / qa-*.png under public/images.",rc-v3/logs/media-hygiene.log
REV-ARTICLE-AUDITOR,reviews,assessReviewArticle,tools_agree,CLOSED,0,"Fix 85. Flagship article P0=0; CONTENT-ARTICLE-P0 0/15; launch 591/591 READY. P0/HIGH semantics agree.",rc-v3/assessor-matrix.json; rc-v3/content-audit-slice.json
SEO-SITEMAP-INVARIANT,seo,sitemap,probed,CLOSED,0,"Fresh HTTP 1167/1167 200. Self-canonical all. noindex 0. redirects 0. draft/facet leak 0.",rc-v3/sitemap-http-probe.json
A11Y-AXE-INCOMPLETE,accessibility,header;hubs,axe_incomplete_classified,CLOSED,0,"Not a violation. Home color-contrast incomplete is axe bgGradient. Search incomplete=0. P0 routes seriousCritical=0.",rc-v3/p0-lab.json; rc-v3/a11y-mobile.json
UX-NOVABLAST-OVERFLOW,accessibility,/products/asics-novablast-6,mobile_overflow_ok,CLOSED,0,"Fresh 390/768/1440 leak=0 for Novablast/Vomero/Glycerin and product/review/best/guide/finder.",rc-v3/logs/a11y-mobile.log
