severity,area,path,code,detail
BLOCKER,ci,,CI_FAILURES,lint=1 typecheck=2 test=1 build=1
BLOCKER,sitemap,,SITEMAP_HTTP_PROBE_NOT_RUN,build failed; cannot prove 0 sitemap 404s this clock
HIGH,uniqueness,,INDEXABLE_NEEDS_DIFF,count=114 from Fix 50 forensic (REQUIRED FOR GO = 0)
HIGH,uniqueness,/reviews/100-percent-s3,INDEXABLE_NEEDS_DIFF,Peer similarity 0.746 vs julbo-aerolite
HIGH,uniqueness,/reviews/oakley-kato,INDEXABLE_NEEDS_DIFF,Peer similarity 0.736 vs goodr-circle-gs
HIGH,uniqueness,/reviews/roka-phantom-air,INDEXABLE_NEEDS_DIFF,Peer similarity 0.792 vs oakley-radar-ev-path
HIGH,uniqueness,/reviews/rudy-project-cutline,INDEXABLE_NEEDS_DIFF,Peer similarity 0.748 vs tifosi-vogel
HIGH,uniqueness,/reviews/smith-attack-mag,INDEXABLE_NEEDS_DIFF,Peer similarity 0.763 vs tifosi-rail
HIGH,uniqueness,/reviews/226ers-high-energy-gel,INDEXABLE_NEEDS_DIFF,Peer similarity 0.773 vs maurten-gel-160
HIGH,uniqueness,/reviews/clif-bar-original,INDEXABLE_NEEDS_DIFF,Peer similarity 0.742 vs high5-zero
HIGH,uniqueness,/reviews/gu-energy-gel,INDEXABLE_NEEDS_DIFF,Peer similarity 0.736 vs enervit-c2-1-carbo-gel
HIGH,uniqueness,/reviews/high5-zero,INDEXABLE_NEEDS_DIFF,Peer similarity 0.790 vs maurten-gel-100-caf-100
HIGH,uniqueness,/reviews/honey-stinger-organic-energy-gel,INDEXABLE_NEEDS_DIFF,Peer similarity 0.739 vs sis-beta-fuel-gel
HIGH,uniqueness,/reviews/maurten-drink-mix-160,INDEXABLE_NEEDS_DIFF,Peer similarity 0.762 vs gu-energy-chews
HIGH,uniqueness,/reviews/maurten-drink-mix-320,INDEXABLE_NEEDS_DIFF,Peer similarity 0.751 vs maurten-drink-mix-160
HIGH,uniqueness,/reviews/maurten-gel-100,INDEXABLE_NEEDS_DIFF,Peer similarity 0.734 vs maurten-gel-160
HIGH,uniqueness,/reviews/maurten-gel-100-caf-100,INDEXABLE_NEEDS_DIFF,Peer similarity 0.790 vs high5-zero
HIGH,uniqueness,/reviews/maurten-gel-160,INDEXABLE_NEEDS_DIFF,Peer similarity 0.773 vs 226ers-high-energy-gel
HIGH,uniqueness,/reviews/naak-ultra-energy-bar,INDEXABLE_NEEDS_DIFF,Peer similarity 0.731 vs skratch-sport-hydration-mix
HIGH,uniqueness,/reviews/naak-ultra-energy-drink-mix,INDEXABLE_NEEDS_DIFF,Peer similarity 0.767 vs precision-ph1500
HIGH,uniqueness,/reviews/neversecond-c30-sports-drink,INDEXABLE_NEEDS_DIFF,Peer similarity 0.779 vs high5-zero
HIGH,uniqueness,/reviews/precision-pf30-drink-mix,INDEXABLE_NEEDS_DIFF,Peer similarity 0.785 vs sis-go-isotonic-gel
HIGH,uniqueness,/reviews/precision-pf30-gel,INDEXABLE_NEEDS_DIFF,Peer similarity 0.723 vs neversecond-c30-gel
HIGH,uniqueness,/reviews/saltstick-fastchews,INDEXABLE_NEEDS_DIFF,Peer similarity 0.758 vs nuun-sport
HIGH,uniqueness,/reviews/sis-beta-fuel-drink,INDEXABLE_NEEDS_DIFF,Peer similarity 0.765 vs sis-beta-fuel-gel
HIGH,uniqueness,/reviews/sis-beta-fuel-gel,INDEXABLE_NEEDS_DIFF,Peer similarity 0.765 vs sis-beta-fuel-drink
HIGH,uniqueness,/reviews/sis-go-isotonic-gel,INDEXABLE_NEEDS_DIFF,Peer similarity 0.785 vs precision-pf30-drink-mix
HIGH,uniqueness,/reviews/skratch-sport-hydration-mix,INDEXABLE_NEEDS_DIFF,Peer similarity 0.733 vs 226ers-high-energy-gel
HIGH,uniqueness,/reviews/veloforte-energy-bar,INDEXABLE_NEEDS_DIFF,Peer similarity 0.758 vs styrkr-gel30
HIGH,uniqueness,/reviews/brooks-cascadia-18,INDEXABLE_NEEDS_DIFF,Peer similarity 0.760 vs salomon-pulsar-trail-2
HIGH,uniqueness,/reviews/brooks-glycerin-gts-22,INDEXABLE_NEEDS_DIFF,Peer similarity 0.764 vs asics-gel-cumulus-27
HIGH,uniqueness,/reviews/new-balance-fresh-foam-x-860-v14,INDEXABLE_NEEDS_DIFF,Peer similarity 0.751 vs altra-paradigm-7
HIGH,uniqueness,/reviews/new-balance-fuelcell-rebel-v4,INDEXABLE_NEEDS_DIFF,Peer similarity 0.792 vs altra-escalante-4
HIGH,uniqueness,/reviews/on-cloudmonster-hyper,INDEXABLE_NEEDS_DIFF,Peer similarity 0.746 vs on-cloudsurfer-2
HIGH,uniqueness,/reviews/saucony-endorphin-speed-4,INDEXABLE_NEEDS_DIFF,Peer similarity 0.757 vs topo-athletic-specter-2
HIGH,uniqueness,/reviews/asics-novablast-5,INDEXABLE_NEEDS_DIFF,Peer similarity 0.783 vs nike-vomero-18
HIGH,uniqueness,/reviews/nike-pegasus-42,INDEXABLE_NEEDS_DIFF,Peer similarity 0.780 vs hoka-bondi-9
HIGH,uniqueness,/reviews/brooks-adrenaline-gts-25,INDEXABLE_NEEDS_DIFF,Peer similarity 0.784 vs brooks-ghost-18
HIGH,uniqueness,/reviews/brooks-canopy-jacket-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.791 vs craft-adv-essence-light-wind-vest-men
HIGH,uniqueness,/reviews/brooks-chaser-5-women,INDEXABLE_NEEDS_DIFF,Peer similarity 0.770 vs brooks-method-tight-women
HIGH,uniqueness,/reviews/brooks-method-tight-women,INDEXABLE_NEEDS_DIFF,Peer similarity 0.809 vs tracksmith-twilight-half-men
HIGH,uniqueness,/reviews/buff-polar,INDEXABLE_NEEDS_DIFF,Peer similarity 0.752 vs odlo-active-warm-eco-bottom-men
HIGH,uniqueness,/reviews/craft-adv-essence-light-wind-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.784 vs nike-dri-fit-stride-short
HIGH,uniqueness,/reviews/craft-adv-essence-light-wind-vest-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.791 vs nike-swoosh-medium-support
HIGH,uniqueness,/reviews/craft-adv-essence-tight-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.784 vs nike-aerobill-cap
HIGH,uniqueness,/reviews/nb-rc-essential-short-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.783 vs ciele-gocap-athletics
HIGH,uniqueness,/reviews/nike-impossibly-light-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.785 vs patagonia-nano-puff-vest-men
HIGH,uniqueness,/reviews/nike-therma-fit-glove,INDEXABLE_NEEDS_DIFF,Peer similarity 0.787 vs smartwool-thermal-merino-glove
HIGH,uniqueness,/reviews/odlo-active-warm-eco-bottom-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.787 vs craft-active-extreme-x-men
HIGH,uniqueness,/reviews/patagonia-capilene-thermal-crew-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.766 vs craft-adv-essence-tight-men
HIGH,uniqueness,/reviews/patagonia-houdini-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.792 vs brooks-notch-thermal-beanie
HIGH,uniqueness,/reviews/patagonia-nano-puff-vest-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.785 vs nike-impossibly-light-men
HIGH,uniqueness,/reviews/patagonia-strider-pro-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.806 vs tracksmith-session-short-men
HIGH,uniqueness,/reviews/tracksmith-twilight-half-men,INDEXABLE_NEEDS_DIFF,Peer similarity 0.809 vs brooks-method-tight-women
HIGH,uniqueness,/reviews/flipbelt-classic,INDEXABLE_NEEDS_DIFF,Peer similarity 0.776 vs fitletic-fully-loaded
HIGH,uniqueness,/reviews/kiprun-running-belt,INDEXABLE_NEEDS_DIFF,Peer similarity 0.786 vs nathan-mirage-pak
HIGH,uniqueness,/reviews/nathan-peak-hydration-waist-pack,INDEXABLE_NEEDS_DIFF,Peer similarity 0.797 vs compressport-free-belt-pro
HIGH,uniqueness,/reviews/ultimate-direction-race-belt,INDEXABLE_NEEDS_DIFF,Peer similarity 0.771 vs compressport-free-belt-pro
HIGH,uniqueness,/reviews/camelbak-crux-15,INDEXABLE_NEEDS_DIFF,Peer similarity 0.737 vs hydrapak-softflask-250
HIGH,uniqueness,/reviews/hydrapak-softflask-250,INDEXABLE_NEEDS_DIFF,Peer similarity 0.799 vs hydrapak-softflask-speed-500
HIGH,uniqueness,/reviews/hydrapak-softflask-speed-500,INDEXABLE_NEEDS_DIFF,Peer similarity 0.825 vs nathan-exoshot-2
HIGH,uniqueness,/reviews/nathan-speeddraw-plus-insulated-18oz,INDEXABLE_NEEDS_DIFF,Peer similarity 0.776 vs nathan-exoshot-2
HIGH,uniqueness,/reviews/amphipod-vizlet-led,INDEXABLE_NEEDS_DIFF,Peer similarity 0.733 vs amphipod-xinglet
HIGH,uniqueness,/reviews/amphipod-xinglet,INDEXABLE_NEEDS_DIFF,Peer similarity 0.733 vs amphipod-vizlet-led
HIGH,uniqueness,/reviews/amphipod-xinglet-optic-beam,INDEXABLE_NEEDS_DIFF,Peer similarity 0.744 vs nathan-lightbender-rx
HIGH,uniqueness,/reviews/nathan-lightbender-rx,INDEXABLE_NEEDS_DIFF,Peer similarity 0.744 vs amphipod-xinglet-optic-beam
HIGH,uniqueness,/reviews/apple-airpods-4,INDEXABLE_NEEDS_DIFF,Peer similarity 0.780 vs suunto-wing
HIGH,uniqueness,/reviews/apple-airpods-pro-2,INDEXABLE_NEEDS_DIFF,Peer similarity 0.776 vs shokz-openfit-2
HIGH,uniqueness,/reviews/beats-fit-pro,INDEXABLE_NEEDS_DIFF,Peer similarity 0.785 vs shokz-openrun
HIGH,uniqueness,/reviews/shokz-opendots-one,INDEXABLE_NEEDS_DIFF,Peer similarity 0.734 vs soundcore-aerofit-2
HIGH,uniqueness,/reviews/shokz-openfit-2,INDEXABLE_NEEDS_DIFF,Peer similarity 0.776 vs apple-airpods-pro-2
HIGH,uniqueness,/reviews/shokz-openrun,INDEXABLE_NEEDS_DIFF,Peer similarity 0.785 vs beats-fit-pro
HIGH,uniqueness,/reviews/shokz-openrun-pro-2,INDEXABLE_NEEDS_DIFF,Peer similarity 0.778 vs suunto-wing
HIGH,uniqueness,/reviews/soundcore-aerofit-2,INDEXABLE_NEEDS_DIFF,Peer similarity 0.734 vs shokz-opendots-one
HIGH,uniqueness,/reviews/suunto-wing,INDEXABLE_NEEDS_DIFF,Peer similarity 0.780 vs apple-airpods-4
HIGH,uniqueness,/reviews/polar-vantage-v3,INDEXABLE_NEEDS_DIFF,Peer similarity 0.747 vs garmin-forerunner-55
HIGH,uniqueness,/reviews/garmin-forerunner-970,INDEXABLE_NEEDS_DIFF,Peer similarity 0.779 vs coros-pace-4
HIGH,uniqueness,/reviews/coros-pace-3,INDEXABLE_NEEDS_DIFF,Peer similarity 0.797 vs coros-pace-4
HIGH,uniqueness,/reviews/garmin-enduro-3,INDEXABLE_NEEDS_DIFF,Peer similarity 0.799 vs garmin-vivoactive-6
HIGH,uniqueness,/reviews/garmin-instinct-3,INDEXABLE_NEEDS_DIFF,Peer similarity 0.819 vs garmin-forerunner-265s
HIGH,uniqueness,/reviews/assaultrunner-pro,INDEXABLE_NEEDS_DIFF,Peer similarity 0.754 vs sole-f80-treadmill
HIGH,uniqueness,/reviews/cep-run-compression-sock-3,INDEXABLE_NEEDS_DIFF,Peer similarity 0.730 vs darn-tough-run-1-4
HIGH,uniqueness,/reviews/swiftwick-aspire-four,INDEXABLE_NEEDS_DIFF,Peer similarity 0.756 vs wrightsock-coolmesh-ii
HIGH,uniqueness,/reviews/black-diamond-spot-400-r,INDEXABLE_NEEDS_DIFF,Peer similarity 0.732 vs silva-trail-runner-free-2
HIGH,uniqueness,/reviews/ledlenser-neo9r,INDEXABLE_NEEDS_DIFF,Peer similarity 0.741 vs nitecore-nu43
HIGH,uniqueness,/reviews/nitecore-nu43,INDEXABLE_NEEDS_DIFF,Peer similarity 0.741 vs ledlenser-neo9r
HIGH,uniqueness,/reviews/silva-trail-runner-free-2,INDEXABLE_NEEDS_DIFF,Peer similarity 0.732 vs black-diamond-spot-400-r
HIGH,uniqueness,/reviews/black-diamond-distance-15,INDEXABLE_NEEDS_DIFF,Peer similarity 0.747 vs salomon-adv-skin-5
