url,page_type,entity_slug,section,text_length,token_leak,machine_language,wordy,repetitive,generic,broken,unsupported,quality_class,excerpt,source_field,root_cause
https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,verdict,1092,True,False,False,False,False,True,False,BROKEN,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefoots…,verdict,p54_held_finalized_uniqueness_tokens via src/content/reviews-p54-held-finalized.json
https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,verdict,1092,True,False,False,True,False,True,False,BROKEN,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefoots…,verdict,p54_held_finalized_uniqueness_tokens via src/content/reviews-p54-held-finalized.json
https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,final_verdict,1092,True,False,False,False,False,True,False,BROKEN,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefoots…,final_verdict,p54_held_finalized_uniqueness_tokens via src/content/reviews-p54-held-finalized.json
https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,final_verdict,1092,True,False,False,True,False,True,False,BROKEN,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefoots…,final_verdict,p54_held_finalized_uniqueness_tokens via src/content/reviews-p54-held-finalized.json
https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,summary,1092,True,False,False,False,False,True,False,BROKEN,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefoots…,summary,p54_held_finalized_uniqueness_tokens via src/content/reviews-p54-held-finalized.json
https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,summary,1092,True,False,False,True,False,True,False,BROKEN,skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadiospro4 adidasadizeroadiospro4heelstack39 39heelstackadidasadizeroadiospro4 adidasadizeroadiospro4forefoots…,summary,p54_held_finalized_uniqueness_tokens via src/content/reviews-p54-held-finalized.json
https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,how_we_assessed,4623,True,True,False,False,False,True,False,BROKEN,Kitletics Expert Research Review. How we assessed it: Adidas Adizero Adios Pro 4 as a carbon race shoe. skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadios…,how_we_assessed,p54_held_finalized_uniqueness_tokens via src/content/reviews-p54-held-finalized.json
https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,how_we_assessed,4623,True,True,False,True,False,True,False,BROKEN,Kitletics Expert Research Review. How we assessed it: Adidas Adizero Adios Pro 4 as a carbon race shoe. skuslugadidasadizeroadiospro4 skuidprodadiospro4 gen4adidasadizeroadiospro4 adidasadizeroadiospro4weight199 199weightadidasadizeroadios…,how_we_assessed,p54_held_finalized_uniqueness_tokens via src/content/reviews-p54-held-finalized.json
https://kitletics.com/reviews/adidas-adizero-adios-pro-4,review,adidas-adizero-adios-pro-4,buy_if_1,137,False,False,False,False,False,False,False,GOOD,Shortlist Adizero Adios Pro 4 when a carbon race shoe is the job and efficient race geometry is what you keep paying for week after week.,buy_if_1,n/a
https://kitletics.com/products/adidas-adizero-adios-pro-4,product,adidas-adizero-adios-pro-4,buy_if_1,137,False,False,False,True,False,False,False,GOOD,Shortlist Adizero Adios Pro 4 when a carbon race shoe is the job and efficient race geometry is what you keep paying for week after week.,buy_if_1,n/a
