url,page_type,section,content_title,entity_slug,image_path,alt,expected_subject,association,reuse_count,classification,reason,provenance,recommended_action
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/headphones/products/bose-ultra-open-hero.jpg,,unknown,,15,LIKELY_CORRECT,headphone packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/headphones/products/shokz-openfit-2-hero.png,,unknown,,15,LIKELY_CORRECT,headphone packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/headphones/products/shokz-openrun-hero.png,,unknown,,17,LIKELY_CORRECT,headphone packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/headphones/products/shokz-openrun-pro-2-hero.png,,unknown,,24,LIKELY_CORRECT,headphone packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/headphones/products/suunto-wing-hero.png,,unknown,,11,LIKELY_CORRECT,headphone packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/home/guide-home-gym.jpg,,unknown,,3,UNKNOWN,subject not independently verified from filename,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/home/guide-how-to-choose.jpg,,unknown,padel racket on blue court,114,WRONG_SPORT,padel racket photo used on unknown surface,production HTML img/_next/image,replace_with_topic_correct_hero
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/home/guide-running-shoes.jpg,,unknown,,75,UNKNOWN,subject not independently verified from filename,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/home/guide-tennis.jpg,,unknown,tennis racket and tennis balls on court,1,WRONG_SPORT,tennis racket photo on non-racket surface,production HTML img/_next/image,replace_with_topic_correct_hero
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/home/hero-gear-composite.png,,unknown,,26,UNKNOWN,subject not independently verified from filename,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/hrm/products/garmin-hrm-pro-plus-hero.jpg,,unknown,,27,UNKNOWN,subject not independently verified from filename,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/hrm/products/polar-h10-hero.png,,unknown,,48,UNKNOWN,subject not independently verified from filename,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/running/products/bondi-9-hero.jpg,,unknown,,50,LIKELY_CORRECT,running product packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/running/products/clifton-10-hero.jpg,,unknown,,64,LIKELY_CORRECT,running product packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/running/products/ghost-18-hero.png,,unknown,,80,LIKELY_CORRECT,running product packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/running/products/lone-peak-8-hero.jpg,,unknown,,21,LIKELY_CORRECT,running product packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/running/products/novablast-6-hero.jpg,,unknown,,80,LIKELY_CORRECT,running product packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/running/products/pegasus-42-hero.jpg,,unknown,,33,LIKELY_CORRECT,running product packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/running/products/peregrine-15-hero.jpg,,unknown,,38,LIKELY_CORRECT,running product packshot,production HTML img/_next/image,keep
https://kitletics.com,home,rendered_img,"Kitletics — Find the right gear for how you train, compete and play.",home,/images/running/products/pulsar-trail-2-hero.jpg,,unknown,,13,LIKELY_CORRECT,running product packshot,production HTML img/_next/image,keep
https://kitletics.com/authors/kitletics-editorial,author,rendered_img,Kitletics Editorial · Kitletics,kitletics-editorial,/images/packs/products/kiprun-900-race-5-hero.jpg,,unknown,,6,UNKNOWN,subject not independently verified from filename,production HTML img/_next/image,keep
