url,path,page_type,status,error,title,text_len,token_hits,has_token,has_machine,decision_machine,decision_broken,image_fail,image_count,excerpt
http://127.0.0.1:3020,/,homepage,200,,"Kitletics — Find the right gear for how you train, compete and play.",4286,,false,false,false,false,,25,"Kitletics — Find the right gear for how you train, compete and play. Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About J…"
http://127.0.0.1:3020/about,/about,other,200,,About · Kitletics,1488,,false,false,false,false,,0,About · Kitletics Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Sear…
http://127.0.0.1:3020/affiliate-disclosure,/affiliate-disclosure,other,200,,Affiliate Disclosure · Kitletics,2573,,false,false,false,false,,0,Affiliate Disclosure · Kitletics Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITL…
http://127.0.0.1:3020/authors,/authors,other,200,,Authors · Kitletics,1678,,false,false,false,false,,0,Authors · Kitletics Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Se…
http://127.0.0.1:3020/authors/kitletics-editorial,/authors/kitletics-editorial,other,200,,Kitletics Editorial · Kitletics,13017,,false,true,false,false,WRONG_CONTENT_TYPE:/images/packs/products/kiprun-900-race-5-hero.jpg:pack is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/packs/products/kiprun-proteam-10-hero.jpg:pack is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/adios-pro-4-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/boston-12-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/adidas-adizero-boston-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/adizero-evo-sl-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/adidas-terrex-agravic-3-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/adidas-ultraboost-5-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/escalante-4-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/altra-experience-flow-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/lone-peak-8-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/altra-paradigm-7-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/torin-8-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/cumulus-27-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/nimbus-27-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/asics-gel-trabuco-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/asics-gt-1000-13-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/gt-2000-14-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/metaspeed-sky-paris-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/novablast-4-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/novablast-6-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/ghost-16-hero.png:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/glycerin-21-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/hyperion-max-2-hero.png:running_shoes is authentic but the wrong content type for unknown,24,Kitletics Editorial · Kitletics Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLE…
http://127.0.0.1:3020/best,/best,other,200,,Best Gear Guides · Kitletics,8635,,false,false,false,false,WRONG_CONTENT_TYPE:/images/home/guide-running-shoes.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/bondi-9-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/vaporfly-4-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/kayano-32-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/category/hero-trail.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/products/nimbus-27-hero.jpg:running_shoes is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/best-hub/best-gps-watches-running.jpg:gps_watch is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/watches/products/garmin-forerunner-165-hero.jpg:gps_watch is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/watches/products/garmin-forerunner-970-hero.jpg:gps_watch is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/watches/products/garmin-fenix-8-hero.jpg:gps_watch is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/watches/products/garmin-enduro-3-hero.jpg:gps_watch is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/watches/products/coros-pace-3-hero.jpg:gps_watch is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/watches/products/garmin-forerunner-265-hero.jpg:gps_watch is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/watches/products/garmin-forerunner-265s-hero.jpg:gps_watch is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/best-hub/best-hrm-running.jpg:hrm is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/hrm/products/polar-h10-hero.png:hrm is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/hrm/products/garmin-hrm-600-hero.jpg:hrm is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/best-hub/best-hydration-vests.jpg:hydration is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/best-hub/best-running-belts.jpg:belt is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/packs/products/black-diamond-distance-15-hero.jpg:pack is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/packs/products/black-diamond-distance-22-hero.jpg:pack is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/packs/products/compressport-ultrun-s-pack-hero.jpg:pack is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/hydration/products/hydrapak-skyflask-speed-500-hero.jpg:hydration is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/best-hub/best-running-headphones.jpg:headphones is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/best-hub/best-running-socks.jpg:socks is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/clothing/products/patagonia-capilene-cool-daily-men-hero.jpg:clothing is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/clothing/products/adidas-own-the-run-tee-men-hero.jpg:clothing is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/clothing/products/brooks-chaser-5-women-hero.jpg:clothing is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/best-hub/best-running-headlamps.jpg:headlamp is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/accessories/oakley-radar-ev-path-hero.png:sunglasses is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/clothing/products/brooks-canopy-jacket-men-hero.jpg:clothing is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/accessories/flipbelt-classic-hero.jpg:belt is authentic but the wrong content type for unknown|WRONG_CONTENT_TYPE:/images/running/accessories/therabody-theragun-mini-2-hero.jpg:recovery is authentic but the wrong content type for unknown,40,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K R…
http://127.0.0.1:3020/best/carbon-plated-running-shoes,/best/carbon-plated-running-shoes,best-guide,200,,Best Carbon-Plated Running Shoes | Kitletics · Kitletics,20872,,false,false,false,false,,10,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K R…
http://127.0.0.1:3020/best/daily-trainers,/best/daily-trainers,best-guide,200,,Best Daily Trainers | Kitletics · Kitletics,24817,,false,false,false,false,,12,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K R…
http://127.0.0.1:3020/best/handheld-running-bottles,/best/handheld-running-bottles,best-guide,200,,Best Handheld Running Bottles | Kitletics · Kitletics,15116,,false,false,false,false,WRONG_CONTENT_TYPE:/images/running/best-hub/best-running-belts.jpg:belt is authentic but the wrong content type for hydration,10,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K R…
http://127.0.0.1:3020/best/heart-rate-monitors-chest-straps,/best/heart-rate-monitors-chest-straps,best-guide,200,,Best Chest Strap Heart Rate Monitors 2026 | Kitletics · Kitletics,17519,,false,false,false,false,,9,Skip to content Unbiased. Data-driven. Expert sport gear recommendations. NL / EUR About Journal Help KITLETICS KITLETICS KITLETICS menu Search Kitletics… ⌘K R…
