id,severity,gate,url,template,entity,component,issue,rootCause
RQ-00001-X,MEDIUM,cross-surface,https://kitletics.com/products/adidas-adizero-adios-pro-4,product,product:adidas-adizero-adios-pro-4,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:adidas-adizero-adios-pro-4 classified GENERIC · 2 surfaces
RQ-00003-X,MEDIUM,cross-surface,https://kitletics.com/products/adidas-adizero-boston-12,product,product:adidas-adizero-boston-12,decision.bestFor[1],bestFor:GENERIC,Rendered bestFor on product:adidas-adizero-boston-12 classified GENERIC · 2 surfaces
RQ-00004-X,MEDIUM,cross-surface,https://kitletics.com/products/adidas-adizero-boston-13,product,product:adidas-adizero-boston-13,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:adidas-adizero-boston-13 classified GENERIC · 2 surfaces
RQ-00006-X,MEDIUM,cross-surface,https://kitletics.com/products/adidas-adizero-evo-sl,product,product:adidas-adizero-evo-sl,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:adidas-adizero-evo-sl classified GENERIC · 2 surfaces
RQ-00008-X,MEDIUM,cross-surface,https://kitletics.com/products/adidas-terrex-agravic-3,product,product:adidas-terrex-agravic-3,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:adidas-terrex-agravic-3 classified GENERIC · 2 surfaces
RQ-00011-X,MEDIUM,cross-surface,https://kitletics.com/products/adidas-ultraboost-5,product,product:adidas-ultraboost-5,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:adidas-ultraboost-5 classified GENERIC · 2 surfaces
RQ-00013-X,MEDIUM,cross-surface,https://kitletics.com/products/altra-escalante-4,product,product:altra-escalante-4,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:altra-escalante-4 classified GENERIC · 2 surfaces
RQ-00015-X,MEDIUM,cross-surface,https://kitletics.com/products/altra-experience-flow,product,product:altra-experience-flow,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:altra-experience-flow classified GENERIC · 2 surfaces
RQ-00017-X,MEDIUM,cross-surface,https://kitletics.com/products/altra-lone-peak-8,product,product:altra-lone-peak-8,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:altra-lone-peak-8 classified GENERIC · 2 surfaces
RQ-00019-X,MEDIUM,cross-surface,https://kitletics.com/products/altra-torin-8,product,product:altra-torin-8,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:altra-torin-8 classified GENERIC · 2 surfaces
RQ-00021-X,MEDIUM,cross-surface,https://kitletics.com/products/asics-gel-cumulus-27,product,product:asics-gel-cumulus-27,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:asics-gel-cumulus-27 classified GENERIC · 2 surfaces
RQ-00023-X,MEDIUM,cross-surface,https://kitletics.com/products/asics-gel-nimbus-27,product,product:asics-gel-nimbus-27,decision.bestFor[0],bestFor:GENERIC,Rendered bestFor on product:asics-gel-nimbus-27 classified GENERIC · 2 surfaces
